Subject Id	Subject Flag	Agreed Hours
004/01	C	30
004/03	C	20
004/05	C	56
004/06	C	
01004	C	
023/01	C	40
023/02	C	30
023/03	C	20
023/04	C	20
023/05	C	30
023/06	C	30
023/07	C	40
023/08	C	20
12	C	24
127/20	C	50
127/24	C	
127/29	C	
127/31	C	
127/32	C	
127/33	C	
127/36	C	
127/37	C	
13	C	3
132F/01	C	300
14	C	3
158/14	C	
158/15	C	
158/16	C	
158/17	C	
158/18	C	
158/19	C	
158/20	C	
158/21	C	
158/22	C	
158/23	C	
158/24	C	
158/25	C	
158/26	C	
158/27	C	
2	C	48
20	C	8
20301	C	
20302	C	
20303	C	
20304	C	
20305	C	
20306	C	
20307	C	
20308	C	
20309	C	
20310	C	
20311	C	
20312	C	
20313	C	
20314	C	
20315	C	4
20316	C	
20317	C	
20318	C	
20319	C	
20320	C	
20321	C	
20322	C	
20323	C	
20324	C	
20325	C	
20326	C	
20327	C	
20328	C	
20329	C	
20330	C	
20331	C	
20332	C	
20333	C	
20334	C	
20335	C	
20336	C	30
20337	C	
20338	C	
20339	C	
20340	C	
20341	C	
20342	C	
20343	C	
20344	C	
20345	C	
20346	C	
20347	C	
20348	C	
20349	C	
20350	C	
20351	C	
20352	C	
20353	C	
20354	C	
20355	C	
20356	C	
206/01	C	50
206/04	C	60
206/05	C	33
206/09	C	60
211/02	C	30
211/03	C	
211/05	C	30
211/10	C	40
211/11	C	
211/13	C	30
2151	C	
21510	C	10
21511	C	10
21512	C	8
21513	C	
21514	C	
21515	C	
21516	C	
21518	C	
21519	C	
2152	C	
21520	C	
21521	C	
21522	C	
21525	C	
2153	C	
2154	C	
2159	C	
29	C	10
3	C	90
31	C	5
4	C	40
93	C	
ACMAAS401	C	60
ACMAAS402	C	60
ACMACR401	C	60
ACMACR401A	C	60
ACMACR402	C	60
ACMACR402A	C	60
ACMACR403	C	60
ACMACR403A	C	60
ACMACR404	C	30
ACMACR404A	C	30
ACMACR405	C	20
ACMACR405A	C	20
ACMACR406	C	30
ACMACR406A	C	30
ACMACR407	C	40
ACMACR407A	C	40
ACMACR408	C	30
ACMACR408A	C	30
ACMACR409	C	80
ACMACR409A	C	80
ACMAIM201	C	20
ACMAIM202	C	30
ACMAIM203	C	30
ACMAIM301	C	30
ACMAIM302	C	50
ACMAIM303	C	40
ACMAIM304	C	50
ACMAIM305	C	40
ACMAIM306	C	60
ACMAIM307	C	60
ACMAIM308	C	60
ACMAIM309	C	40
ACMAIM310	C	60
ACMAIM401	C	60
ACMAIM402	C	60
ACMAIM403	C	80
ACMAIM404	C	80
ACMARM301	C	50
ACMARM401	C	60
